admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3Pcode,admin4Name_en,admin4Name_ar,admin4Pcode,areaName_en,areaName_ar,areaPcode,neibourhoodName_en,neibourhoodName_ar,neibourhoodPcode,neibourhoodRefName_en,neibourhoodRefName_ar,neibourhoodAltName1_en,neibourhoodAltName1_ar,neibourhoodAltName2_en,neibourhoodAltName2_ar,LastUpdateDate,validOn,validTo,neibourhoodPreviuosPcode
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Bab Al Jabiyeh,باب الجابية,N0060,Bab Al Jabiyeh,باب الجابية,,,,,2016-09-05,,,SY0100083
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Suweiqa,السويقة,N0066,Suweiqa,السويقة,,,,,2016-09-05,,,SY0100084
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Al Moujtahed,المجتهد,N0069,Al Moujtahed,المجتهد,,,,,2016-09-05,,,SY0100085
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Qabr Atikah,قبر عاتكة,N0065,Qabr Atikah,قبر عاتكة,,,,,2016-09-05,,,SY0100086
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Ansari,الأنصاري,N0062,Ansari,الأنصاري - دمشق,,,,,2016-09-05,,,SY0100087
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Baramkeh,البرامكة,N0058,Baramkeh,البرامكة,,,,,2016-09-05,,,SY0100088
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qanawat,القنوات,A010,Hijaz,الحجاز,N0046,Hijaz (Damascus),الحجاز,,,,,2016-09-05,,,SY0100089
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Midan,الميدان,A013,Zahreh,الزاهرة,N0080,Zahreh,الزاهرة,,,,,2016-09-05,,,SY0100091
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Midan,الميدان,A013,Qa'a,القاعة,N0089,Qaa,القاعة,,,,,2016-09-05,,,SY0100092
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Midan,الميدان,A013,Daqaq,الدقاق,N0084,Daqaq,الدقاق,,,,,2016-09-05,,,SY0100093
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Midan,الميدان,A013,Haqleh,الحقلة,N0081,Haqleh,الحقلة,,,,,2016-09-05,,,SY0100094
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Midan,الميدان,A013,Bab Maser,باب مصر,N0082,Bab Maser,باب مصر,,,,,2016-09-05,,,SY0100095
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Midan,الميدان,A013,Midan Wastani,ميدان وسطاني,N0078,Midan Wastani,ميدان وسطاني,,,,,2016-09-05,,,SY0100096
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Ash Shaghour,الشاغور,A014,Shaghour Barani,شاغور براني,N0063,Shaghour Barani,شاغور براني,,,,,2016-09-05,,,SY0100101
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Ash Shaghour,الشاغور,A014,Ibn Asaker,ابن عساكر,N0067,Ibn Asaker,ابن عساكر,,,,,2016-09-05,,,SY0100102
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Ash Shaghour,الشاغور,A014,Bilal,بلال,N0075,Bilal,بلال,,,,,2016-09-05,,,SY0100103
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Ash Shaghour,الشاغور,A014,Rawdet Al Midan,روضة الميدان,N0079,Rawdet Al Midan,روضة الميدان,,,,,2016-09-05,,,SY0100104
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Ash Shaghour,الشاغور,A014,Zohour,الزهور,N0083,Zohour (Damascus),الزهور - دمشق,,,,,2016-09-05,,,SY0100105
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Ash Shaghour,الشاغور,A014,Nidal,النضال,N0068,Nidal,النضال,,,,,2016-09-05,,,SY0100106
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Ash Shaghour,الشاغور,A014,Bab Sharqi,باب شرقي,N0061,Bab Sharqi,باب شرقي,,,,,2016-09-05,,,SY0100107
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Ash Shaghour,الشاغور,A014,Wihdeh,الوحدة,N0074,Wihdeh (Damascus),الوحدة - دمشق,,,,,2016-09-05,,,SY0100108
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Dummar,دمر,A001,Dummar Sharqiya,دمر الشرقية,N0010,Dummar Sharqiya,دمر الشرقية,,,,,2016-09-05,,,SY0100111
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Dummar,دمر,A001,Dummar Gharbiya,دمر الغربية,N0044,Dummar Gharbiya,دمر الغربية,,,,,2016-09-05,,,SY0100112
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Dummar,دمر,A001,Dahiet Dummar,ضاحية دمر,N0024,Dahiet Dummar,ضاحية دمر,,,,,2016-09-05,,,SY0100113
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Dummar,دمر,A001,Al Arin,العرين,N0020,Al Arin,العرين,,,,,2016-09-05,,,SY0100114
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Dummar,دمر,A001,Al Woroud,الورود,N0012,Al Woroud,الورود,,,,,2016-09-05,,,SY0100115
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qadam,القدم,A015,Sayyida Aisha,السيدة عائشة,N0085,Sayyida Aisha,السيدة عائشة,,,,,2016-09-05,,,SY0100121
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qadam,القدم,A015,Dahadeel,الدحاديل,N0091,Dahadeel,الدحاديل,,,,,2016-09-05,,,SY0100122
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Al Qadam,القدم,A015,Al Mustafa,المصطفى,N0095,Al Mustafa,المصطفى,,,,,2016-09-05,,,SY0100126
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Kafar Soussa,كفرسوسة,A012,Kafr Souseh Al Balad,كفر سوسة البلد,N0070,Kafr Souseh Al Balad,كفر سوسة البلد,,,,,2016-09-05,,,SY0100131
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Kafar Soussa,كفرسوسة,A012,Al Waha,الواحة,N0077,Al Waha,الواحة,,,,,2016-09-05,,,SY0100132
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Kafar Soussa,كفرسوسة,A012,Fardos,الفردوس,N0087,Fardos (Damascus),الفردوس - دمشق,,,,,2016-09-05,,,SY0100133
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Kafar Soussa,كفرسوسة,A012,Lwan,اللوان,N0090,Lwan,اللوان,,,,,2016-09-05,,,SY0100134
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Kafar Soussa,كفرسوسة,A012,Al Ikhlas,الإخلاص,N0072,Al Ikhlas,الإخلاص,,,,,2016-09-05,,,SY0100135
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Kafar Soussa,كفرسوسة,A012,Mazzeh Basatin,مزة بساتين,N0073,Mazzeh Basatin,مزة بساتين,,,,,2016-09-05,,,SY0100136
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Qaboun,القابون,A004,Al Masani',المصانع,N0011,Al Masani,المصانع,,,,,2016-09-05,,,SY0100141
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Qaboun,القابون,A004,Tishrine,تشرين,N0004,Tishrine (Damascus),تشرين - دمشق,,,,,2016-09-05,,,SY0100143
