admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
Camiguin,PH101800000,,,,Region X ,PH100000000,Philippines (the),PH,2016-06-15,2018-01-30,
Capiz,PH061900000,,,,Region VI ,PH060000000,Philippines (the),PH,2016-06-15,2018-01-30,
Catanduanes,PH052000000,,,,Region V ,PH050000000,Philippines (the),PH,2016-06-15,2018-01-30,
Cavite,PH042100000,,,,Region IV-A ,PH040000000,Philippines (the),PH,2016-06-15,2018-01-30,
Cebu,PH072200000,,,,Region VII ,PH070000000,Philippines (the),PH,2016-06-15,2018-01-30,
City of Isabela,PH099700000,,,,Region IX ,PH090000000,Philippines (the),PH,2016-06-15,2018-01-30,
Compostela Valley,PH118200000,,,,Region XI ,PH110000000,Philippines (the),PH,2016-06-15,2018-01-30,
Cotabato,PH124700000,,,,Region XII ,PH120000000,Philippines (the),PH,2016-06-15,2018-01-30,
Cotabato City,PH129800000,,,,Region XII ,PH120000000,Philippines (the),PH,2016-06-15,2018-01-30,
Davao del Norte,PH112300000,,,,Region XI ,PH110000000,Philippines (the),PH,2016-06-15,2018-01-30,
Davao del Sur,PH112400000,,,,Region XI ,PH110000000,Philippines (the),PH,2016-06-15,2018-01-30,
Davao Occidental,PH118600000,,,,Region XI ,PH110000000,Philippines (the),PH,2016-06-15,2018-01-30,
Davao Oriental,PH112500000,,,,Region XI ,PH110000000,Philippines (the),PH,2016-06-15,2018-01-30,
Dinagat Islands,PH168500000,,,,Region XIII ,PH160000000,Philippines (the),PH,2016-06-15,2018-01-30,
Eastern Samar,PH082600000,,,,Region VIII ,PH080000000,Philippines (the),PH,2016-06-15,2018-01-30,
Guimaras,PH067900000,,,,Region VI ,PH060000000,Philippines (the),PH,2016-06-15,2018-01-30,
Ifugao,PH142700000,,,,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,2016-06-15,2018-01-30,
Ilocos Norte,PH012800000,,,,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Ilocos Sur,PH012900000,,,,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Iloilo,PH063000000,,,,Region VI ,PH060000000,Philippines (the),PH,2016-06-15,2018-01-30,
Isabela,PH023100000,,,,Region II ,PH020000000,Philippines (the),PH,2016-06-15,2018-01-30,
Kalinga,PH143200000,,,,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,2016-06-15,2018-01-30,
La Union,PH013300000,,,,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Laguna,PH043400000,,,,Region IV-A ,PH040000000,Philippines (the),PH,2016-06-15,2018-01-30,
Lanao del Norte,PH103500000,,,,Region X ,PH100000000,Philippines (the),PH,2016-06-15,2018-01-30,
Lanao del Sur,PH153600000,,,,Autonomous Region in Muslim Mindanao ,PH150000000,Philippines (the),PH,2016-06-15,2018-01-30,
Leyte,PH083700000,,,,Region VIII ,PH080000000,Philippines (the),PH,2016-06-15,2018-01-30,
Maguindanao,PH153800000,,,,Autonomous Region in Muslim Mindanao ,PH150000000,Philippines (the),PH,2016-06-15,2018-01-30,
Marinduque,PH174000000,,,,Region IV-B ,PH170000000,Philippines (the),PH,2016-06-15,2018-01-30,
Masbate,PH054100000,,,,Region V ,PH050000000,Philippines (the),PH,2016-06-15,2018-01-30,
Misamis Occidental,PH104200000,,,,Region X ,PH100000000,Philippines (the),PH,2016-06-15,2018-01-30,
Misamis Oriental,PH104300000,,,,Region X ,PH100000000,Philippines (the),PH,2016-06-15,2018-01-30,
Mountain Province,PH144400000,,,,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,2016-06-15,2018-01-30,
"NCR, City of Manila, First District",PH133900000,,,,National Capital Region ,PH130000000,Philippines (the),PH,2016-06-15,2018-01-30,
"NCR, Fourth District",PH137600000,,,,National Capital Region ,PH130000000,Philippines (the),PH,2016-06-15,2018-01-30,
"NCR, Second District",PH137400000,,,,National Capital Region ,PH130000000,Philippines (the),PH,2016-06-15,2018-01-30,
"NCR, Third District",PH137500000,,,,National Capital Region ,PH130000000,Philippines (the),PH,2016-06-15,2018-01-30,
Negros Occidental,PH184500000,,,,Negros Island Region ,PH180000000,Philippines (the),PH,2016-06-15,2018-01-30,
Negros Oriental,PH184600000,,,,Negros Island Region ,PH180000000,Philippines (the),PH,2016-06-15,2018-01-30,
Northern Samar,PH084800000,,,,Region VIII ,PH080000000,Philippines (the),PH,2016-06-15,2018-01-30,
Nueva Ecija,PH034900000,,,,Region III ,PH030000000,Philippines (the),PH,2016-06-15,2018-01-30,
Nueva Vizcaya,PH025000000,,,,Region II ,PH020000000,Philippines (the),PH,2016-06-15,2018-01-30,
Occidental Mindoro,PH175100000,,,,Region IV-B ,PH170000000,Philippines (the),PH,2016-06-15,2018-01-30,
Oriental Mindoro,PH175200000,,,,Region IV-B ,PH170000000,Philippines (the),PH,2016-06-15,2018-01-30,
Palawan,PH175300000,,,,Region IV-B ,PH170000000,Philippines (the),PH,2016-06-15,2018-01-30,
Pampanga,PH035400000,,,,Region III ,PH030000000,Philippines (the),PH,2016-06-15,2018-01-30,
Pangasinan,PH015500000,,,,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Quezon,PH045600000,,,,Region IV-A ,PH040000000,Philippines (the),PH,2016-06-15,2018-01-30,
Quirino,PH025700000,,,,Region II ,PH020000000,Philippines (the),PH,2016-06-15,2018-01-30,
Rizal,PH045800000,,,,Region IV-A ,PH040000000,Philippines (the),PH,2016-06-15,2018-01-30,
Romblon,PH175900000,,,,Region IV-B ,PH170000000,Philippines (the),PH,2016-06-15,2018-01-30,
Samar,PH086000000,,,,Region VIII ,PH080000000,Philippines (the),PH,2016-06-15,2018-01-30,
Sarangani,PH128000000,,,,Region XII ,PH120000000,Philippines (the),PH,2016-06-15,2018-01-30,
Siquijor,PH076100000,,,,Region VII ,PH070000000,Philippines (the),PH,2016-06-15,2018-01-30,
Sorsogon,PH056200000,,,,Region V ,PH050000000,Philippines (the),PH,2016-06-15,2018-01-30,
South Cotabato,PH126300000,,,,Region XII ,PH120000000,Philippines (the),PH,2016-06-15,2018-01-30,
Southern Leyte,PH086400000,,,,Region VIII ,PH080000000,Philippines (the),PH,2016-06-15,2018-01-30,
Sultan Kudarat,PH126500000,,,,Region XII ,PH120000000,Philippines (the),PH,2016-06-15,2018-01-30,
Sulu,PH156600000,,,,Autonomous Region in Muslim Mindanao ,PH150000000,Philippines (the),PH,2016-06-15,2018-01-30,
Surigao del Norte,PH166700000,,,,Region XIII ,PH160000000,Philippines (the),PH,2016-06-15,2018-01-30,
Surigao del Sur,PH166800000,,,,Region XIII ,PH160000000,Philippines (the),PH,2016-06-15,2018-01-30,
Tarlac,PH036900000,,,,Region III ,PH030000000,Philippines (the),PH,2016-06-15,2018-01-30,
Tawi-Tawi,PH157000000,,,,Autonomous Region in Muslim Mindanao ,PH150000000,Philippines (the),PH,2016-06-15,2018-01-30,
Zambales,PH037100000,,,,Region III ,PH030000000,Philippines (the),PH,2016-06-15,2018-01-30,
Zamboanga del Norte,PH097200000,,,,Region IX ,PH090000000,Philippines (the),PH,2016-06-15,2018-01-30,
Zamboanga del Sur,PH097300000,,,,Region IX ,PH090000000,Philippines (the),PH,2016-06-15,2018-01-30,
Zamboanga Sibugay,PH098300000,,,,Region IX ,PH090000000,Philippines (the),PH,2016-06-15,2018-01-30,
