adm2_tr,adm2_en,adm1_tr,adm1_en,adm1_code,adm0_tr,adm0_en,pcode
KAŞ,KAS,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007011
KEMER,KEMER,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007012
KEPEZ,KEPEZ,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007013
KONYAALTI,KONYAALTI,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007014
KORKUTELİ,KORKUTELI,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007015
KUMLUCA,KUMLUCA,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007016
MANAVGAT,MANAVGAT,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007017
MURATPAŞA,MURATPASA,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007018
SERİK,SERIK,ANTALYA,ANTALYA,TUR007,TÜRKİYE,TURKEY,TUR007019
ARDAHAN,ARDAHAN,ARDAHAN,ARDAHAN,TUR075,TÜRKİYE,TURKEY,TUR075001
ÇILDIR,CILDIR,ARDAHAN,ARDAHAN,TUR075,TÜRKİYE,TURKEY,TUR075002
DAMAL,DAMAL,ARDAHAN,ARDAHAN,TUR075,TÜRKİYE,TURKEY,TUR075003
GÖLE,GOLE,ARDAHAN,ARDAHAN,TUR075,TÜRKİYE,TURKEY,TUR075004
HANAK,HANAK,ARDAHAN,ARDAHAN,TUR075,TÜRKİYE,TURKEY,TUR075005
POSOF,POSOF,ARDAHAN,ARDAHAN,TUR075,TÜRKİYE,TURKEY,TUR075006
ARDANUÇ,ARDANUC,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008001
ARHAVİ,ARHAVI,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008002
ARTVİN,ARTVIN,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008003
BORÇKA,BORCKA,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008004
HOPA,HOPA,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008005
KEMALPAŞA,KEMALPASA,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008006
MURGUL,MURGUL,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008007
ŞAVŞAT,SAVSAT,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008008
YUSUFELİ,YUSUFELI,ARTVİN,ARTVIN,TUR008,TÜRKİYE,TURKEY,TUR008009
BOZDOĞAN,BOZDOGAN,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009001
BUHARKENT,BUHARKENT,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009002
ÇİNE,CINE,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009003
DİDİM,DIDIM,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009004
EFELER,EFELER,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009005
GERMENCİK,GERMENCIK,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009006
İNCİRLİOVA,INCIRLIOVA,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009007
KARACASU,KARACASU,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009008
KARPUZLU,KARPUZLU,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009009
KOÇARLI,KOCARLI,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009010
KÖŞK,KOSK,AYDIN,AYDIN,TUR009,TÜRKİYE,TURKEY,TUR009011
