admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Namissiguima,BF540306,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Namounou,BF520505,,,,Tapoa,BF5205,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Nanoro,BF500106,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Nassere,BF490104,,,,Bam,BF4901,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Nassoumbou,BF560307,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Niabouri,BF500305,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Niandiala,BF500107,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Niangoloko,BF470105,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Niankorodougou,BF470205,,,,Leraba,BF4702,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Niaogo,BF480109,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Niego,BF570205,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Niou,BF550203,,,,Kourweogo,BF5502,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Nobere,BF510307,,,,Zoundweogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
