admin0Name_es,admin0Pcode,admin1Name_es,admin1Pcode,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,date,validOn,validTo
Colombia,CO,Boyacá,CO15,Tununga,CO15832,Tununga,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Aguadas,CO17013,Aguadas,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Tuta,CO15837,Tuta,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Lloró,CO27413,Lloro,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Villa de Leyva,CO15407,Villa de Leyva,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Firavitoba,CO15272,Firavitoba,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Chiquizá,CO15232,Chiquiza,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Valparaíso,CO05856,Valparaiso,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Chiquinquirá,CO15176,Chiquinquira,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Atrato,CO27050,Atrato,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Briceño,CO15106,Briceno,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Sutamarchan,CO15776,Sutamarchan,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Río Quito,CO27600,Rio Quito,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Nariño,CO05483,Narino,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Labranzagrande,CO15377,Labranzagrande,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Bagadó,CO27073,Bagado,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Motavita,CO15476,Motavita,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Oicata,CO15500,Oicata,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Quipama,CO15580,Quipama,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Jardín,CO05364,Jardin,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Toca,CO15814,Toca,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Iza,CO15362,Iza,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Maripí,CO15442,Maripi,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Pesca,CO15542,Pesca,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Aquitania,CO15047,Aquitania,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Chivata,CO15187,Chivata,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Caldas,CO15131,Caldas,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Tinjacá,CO15808,Tinjaca,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Sachica,CO15638,Sachica,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Cuitiva,CO15226,Cuitiva,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Sora,CO15762,Sora,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Caramanta,CO05145,Caramanta,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Muzo,CO15480,Muzo,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Victoria,CO17867,Victoria,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,San Miguel de Sema,CO15676,San Miguel de Sema,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Ráquira,CO15600,Raquira,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Tunja,CO15001,Tunja,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Tota,CO15822,Tota,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Pácora,CO17513,Pacora,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Bajo Baudó,CO27077,Bajo Baudo,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Simijaca,CO25745,Simijaca,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Riosucio,CO17614,Riosucio,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Cucaita,CO15224,Cucaita,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Samaca,CO15646,Samaca,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Caparrapí,CO25148,Caparrapi,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Siachoque,CO15740,Siachoque,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,La Victoria,CO15401,La Victoria,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Buenavista,CO15109,Buenavista,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Soraca,CO15764,Soraca,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Pensilvania,CO17541,Pensilvania,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Marmato,CO17442,Marmato,,,2009-01-01,2014-10-29,
Colombia,CO,Risaralda,CO66,Mistrató,CO66456,Mistrato,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Supía,CO17777,Supia,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Coper,CO15212,Coper,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Canton del San Pablo,CO27135,Canton del San Pablo,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Susa,CO25779,Susa,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Pajarito,CO15518,Pajarito,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Fúquene,CO25288,Fuquene,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Viracacha,CO15879,Viracacha,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Rondon,CO15621,Rondon,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Boyacá,CO15104,Boyaca,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Carmen de Carupa,CO25154,Carmen de Carupa,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Ventaquemada,CO15861,Ventaquemada,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Salamina,CO17653,Salamina,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Paime,CO25518,Paime,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Guachetá,CO25317,Guacheta,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,La Merced,CO17388,La Merced,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Tadó,CO27787,Tado,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Ramiriquí,CO15599,Ramiriqui,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Ciénega,CO15189,Cienega,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Guaduas,CO25320,Guaduas,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,La Palma,CO25394,La Palma,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,San Cayetano,CO25653,San Cayetano,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Jenesano,CO15367,Jenesano,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Topaipi,CO25823,Topaipi,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Nuevo Colón,CO15494,Nuevo Colon,,,2009-01-01,2014-10-29,
Colombia,CO,Risaralda,CO66,Pueblo Rico,CO66572,Pueblo Rico,,,2009-01-01,2014-10-29,
Colombia,CO,Risaralda,CO66,Quinchía,CO66594,Quinchia,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Medio Baudó,CO27430,Medio Baudo,,,2009-01-01,2014-10-29,
Colombia,CO,Risaralda,CO66,Guática,CO66318,Guatica,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Turmeque,CO15835,Turmeque,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Unión Panamericana,CO27810,Union Panamericana,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Filadelfia,CO17272,Filadelfia,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Lenguazaque,CO25407,Lenguazaque,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Tibana,CO15804,Tibana,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Ubaté,CO25843,Ubate,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Zetaquira,CO15897,Zetaquira,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Villapinzón,CO25873,Villapinzon,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Aranzazu,CO17050,Aranzazu,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Marulanda,CO17446,Marulanda,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Marquetalia,CO17444,Marquetalia,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Villagomez,CO25871,Villagomez,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,El Peñon,CO25258,El Penon,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Manzanares,CO17433,Manzanares,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,San Eduardo,CO15660,San Eduardo,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Umbita,CO15842,Umbita,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Berbeo,CO15090,Berbeo,,,2009-01-01,2014-10-29,
