id,name_1,name_alt,type_1,type_alt,code_gadm,code_govt
FRA001006003006006,Saint-Romain-Lachalm,,Commune,Commune simple,FRA.1.6.3.6.6_1,
FRA001006003006007,Saint-Victor-Malescours,,Commune,Commune simple,FRA.1.6.3.6.7_1,
FRA001006003007001,Les Villettes,,Commune,Commune simple,FRA.1.6.3.7.1_1,
FRA001006003007002,Saint-Pal-de-Mons,,Commune,Commune simple,FRA.1.6.3.7.2_1,
FRA001006003007003,Sainte-Sigolène,,Commune,Chef-lieu canton,FRA.1.6.3.7.3_1,
FRA001006003008001,Chenereilles,,Commune,Commune simple,FRA.1.6.3.8.1_1,
FRA001006003008002,Le Chambon-sur-Lignon,,Commune,Commune simple,FRA.1.6.3.8.2_1,
FRA001006003008003,Le Mas-de-Tence,,Commune,Commune simple,FRA.1.6.3.8.3_1,
FRA001006003008004,Mazet-Saint-Voy,,Commune,Commune simple,FRA.1.6.3.8.4_1,
FRA001006003008005,Saint-Jeures,,Commune,Commune simple,FRA.1.6.3.8.5_1,
FRA001006003008006,Tence,,Commune,Chef-lieu canton,FRA.1.6.3.8.6_1,
FRA001006003009001,Araules,,Commune,Commune simple,FRA.1.6.3.9.1_1,
FRA001006003009002,Beaux,,Commune,Commune simple,FRA.1.6.3.9.2_1,
FRA001006003009003,Bessamorel,,Commune,Commune simple,FRA.1.6.3.9.3_1,
FRA001006003009004,Grazac,,Commune,Commune simple,FRA.1.6.3.9.4_1,
FRA001006003009005,Lapte,,Commune,Commune simple,FRA.1.6.3.9.5_1,
FRA001006003009006,Saint-Julien-du-Pinet,,Commune,Commune simple,FRA.1.6.3.9.6_1,
FRA001006003009007,Yssingeaux,,Commune,Sous-préfecture,FRA.1.6.3.9.7_1,
FRA001007001001001,Alby-sur-Chéran,,Commune,Chef-lieu canton,FRA.1.7.1.1.1_1,
FRA001007001001002,Allèves,,Commune,Commune simple,FRA.1.7.1.1.2_1,
FRA001007001001003,Chainaz-les-Frasses,,Commune,Commune simple,FRA.1.7.1.1.3_1,
FRA001007001001004,Chapeiry,,Commune,Commune simple,FRA.1.7.1.1.4_1,
FRA001007001001005,Cusy,,Commune,Commune simple,FRA.1.7.1.1.5_1,
FRA001007001001006,Gruffy,,Commune,Commune simple,FRA.1.7.1.1.6_1,
FRA001007001001007,Héry-sur-Alby,,Commune,Commune simple,FRA.1.7.1.1.7_1,
FRA001007001001008,Mûres,,Commune,Commune simple,FRA.1.7.1.1.8_1,
FRA001007001001009,Saint-Félix,,Commune,Commune simple,FRA.1.7.1.1.9_1,
FRA001007001001010,Saint-Sylvestre,,Commune,Commune simple,FRA.1.7.1.1.10_1,
FRA001007001001011,Viuz-la-Chiésaz,,Commune,Commune simple,FRA.1.7.1.1.11_1,
FRA001007001002001,Alex,,Commune,Commune simple,FRA.1.7.1.2.1_1,
FRA001007001002002,Annecy-le-Vieux,,Commune,Chef-lieu canton,FRA.1.7.1.2.2_1,
FRA001007001002003,Argonay,,Commune,Commune simple,FRA.1.7.1.2.3_1,
FRA001007001002004,Bluffy,,Commune,Commune simple,FRA.1.7.1.2.4_1,
FRA001007001002005,Charvonnex,,Commune,Commune simple,FRA.1.7.1.2.5_1,
FRA001007001002006,Cuvat,,Commune,Commune simple,FRA.1.7.1.2.6_1,
FRA001007001002007,Dingy-Saint-Clair,,Commune,Commune simple,FRA.1.7.1.2.7_1,
FRA001007001002008,Menthon-Saint-Bernard,,Commune,Commune simple,FRA.1.7.1.2.8_1,
FRA001007001002009,Nâves-Parmelan,,Commune,Commune simple,FRA.1.7.1.2.9_1,
FRA001007001002010,Pringy,,Commune,Commune simple,FRA.1.7.1.2.10_1,
FRA001007001002011,Saint-Martin-Bellevue,,Commune,Commune simple,FRA.1.7.1.2.11_1,
FRA001007001002012,Talloires,,Commune,Commune simple,FRA.1.7.1.2.12_1,
FRA001007001002013,Veyrier-du-Lac,,Commune,Commune simple,FRA.1.7.1.2.13_1,
FRA001007001002014,Villy-le-Pelloux,,Commune,Commune simple,FRA.1.7.1.2.14_1,
FRA001007001003001,Choisy,,Commune,Commune simple,FRA.1.7.1.3.1_1,
FRA001007001003002,Épagny,,Commune,Commune simple,FRA.1.7.1.3.2_1,
FRA001007001003003,La Balme-de-Sillingy,,Commune,Commune simple,FRA.1.7.1.3.3_1,
FRA001007001003004,Lovagny,,Commune,Commune simple,FRA.1.7.1.3.4_1,
FRA001007001003005,Mésigny,,Commune,Commune simple,FRA.1.7.1.3.5_1,
FRA001007001003006,Metz-Tessy,,Commune,Commune simple,FRA.1.7.1.3.6_1,
FRA001007001003007,Meythet,,Commune,Commune simple,FRA.1.7.1.3.7_1,
FRA001007001003008,Nonglard,,Commune,Commune simple,FRA.1.7.1.3.8_1,
FRA001007001003009,Poisy,,Commune,Commune simple,FRA.1.7.1.3.9_1,
FRA001007001003010,Sallenôves,,Commune,Commune simple,FRA.1.7.1.3.10_1,
FRA001007001003011,Sillingy,,Commune,Commune simple,FRA.1.7.1.3.11_1,
FRA001007001004001,Annecy,,Commune,Préfecture,FRA.1.7.1.4.1_1,
FRA001007001005001,Chevaline,,Commune,Commune simple,FRA.1.7.1.5.1_1,
FRA001007001005002,Cons-Sainte-Colombe,,Commune,Commune simple,FRA.1.7.1.5.2_1,
FRA001007001005003,Doussard,,Commune,Commune simple,FRA.1.7.1.5.3_1,
FRA001007001005004,Faverges,,Commune,Chef-lieu canton,FRA.1.7.1.5.4_1,
FRA001007001005005,Giez,,Commune,Commune simple,FRA.1.7.1.5.5_1,
FRA001007001005006,Lathuile,,Commune,Commune simple,FRA.1.7.1.5.6_1,
