admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,date,validOn,validTo
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Pissa,CF1213,Pissa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Gadzi,CF217,Topia,CF2171,Topia,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Bozoum,CF311,Birvan-Bolé,CF3113,Birvan-Bole,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Grimari,CF433,Lissa,CF4333,Lissa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,Pladama-Ouaka,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112,Mbeima,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Alindao,CF612,Alindao,CF6121,Alindao,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Mobaye,CF611,Mobaye,CF6111,Mobaye,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Kouango,CF434,Azéngué-Mindou,CF4342,Azengue-Mindou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Bria,CF521,Daho-Mboutou,CF5213,Daho-Mboutou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Mingala,CF614,Kotto,CF6142,Kotto,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bamingui-Bangoran,CF51,Ndélé,CF511,Mbolo-Pata,CF5112,Mbolo-Pata,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,Vassako,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Bakala,CF432,Koudou-Bégo,CF4321,Koudou-Bego,,,2014-08-02,2015-06-15,
