admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Argoba,ET030401,,,,South Wello,ET0304,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Arguba Special,ET020306,,,,Zone 3 (Gabi Rasu),ET0203,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Aroresa,ET070409,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Arsi Negele,ET041703,,,,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Arsi Negele Town,ET041799,,,,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Artuma Fursi,ET031004,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Asayita,ET020103,,,,Zone 1 (Awsi Rasu),ET0201,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Aseko,ET040802,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Asela Town,ET040825,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Aseliso,ET150201,,,,Dire Dawa rural,ET1502,Dire Dawa,ET15,Ethiopia,ET,2019-08-19,2019-10-28,
Asgede Tsimbila,ET010105,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Assagirt,ET030514,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Assosa,ET060303,,,,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2019-08-19,2019-10-28,
Ataye Town,ET030598,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Atote Ulo,ET071403,,,,Halaba Special,ET0714,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Atsbi Wenberta,ET010307,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Aw-Bare,ET050205,,,,Fafan,ET0502,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Awabel,ET030612,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Aware,ET050303,,,,Jarar,ET0503,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Awash City,ET020396,,,,Zone 3 (Gabi Rasu),ET0203,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Awash Fentale,ET020302,,,,Zone 3 (Gabi Rasu),ET0203,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Aweday Town,ET041099,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Awra,ET020401,,,,Zone 4 (Fantana Rasu),ET0204,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Axum Town,ET010213,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Ayder,ET011067,,,,Mekele Special,ET0110,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Ayehu Guwagusa,ET030908,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Ayida,ET071506,,,,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Ayira,ET040107,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ayisha,ET050101,,,,Siti,ET0501,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Aykel Town,ET031199,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Ayun,ET051001,,,,Nogob,ET0510,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Babile,ET050203,,,,Fafan,ET0502,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Babile (Oromia),ET041004,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Babile Town,ET041000,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Babo,ET040111,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Badele Zuria,ET041622,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bahir Dar Town,ET030712,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bahirdar Zuria,ET030702,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bako Tibe,ET040506,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bambasi,ET060305,,,,Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,2019-08-19,2019-10-28,
Banja,ET030902,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Barey,ET050807,,,,Afder,ET0508,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Basketo SP Woreda,ET071601,,,,Basketo,ET0716,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Baso Liben,ET030611,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Basona Worena,ET030519,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bati,ET031002,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bati Town,ET031099,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bechena Town,ET030699,,,,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Becho (Ilu Aba Bora),ET040314,,,,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Becho (SW Shewa),ET041309,,,,South West Shewa,ET0413,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bedele Town,ET041621,,,,Buno Bedele,ET0416,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bedeno,ET041013,,,,East Hararge,ET0410,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bedesa,ET040914,,,,West Hararge,ET0409,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Begi,ET040116,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bekoji Town,ET040894,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bele Gesgar,ET040823,,,,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Belojiganfo,ET060405,,,,Kemashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,2019-08-19,2019-10-28,
Bena Tsemay,ET070705,,,,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bensa,ET070408,,,,Sidama,ET0704,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Berahile,ET020205,,,,Zone 2 (Kilbet Rasu),ET0202,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Berbere,ET041114,,,,Bale,ET0411,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Bereh,ET042011,,,,Finfine Special,ET0420,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Berehet,ET030517,,,,North Shewa,ET0305,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bero,ET071805,,,,Mirab Omo,ET0718,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Berocano,ET050608,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Beyeda,ET030102,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
