admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
Tawilla,SD02170,Tawilla,Tawilla,Tawilla,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
El Tina,SD02171,El Tina,El Tina,El Tina,North Darfur,SD02,Sudan,SD,2014-01-01,2015-11-30,
Dimsu,SD03172,Dimsu,Dimsu,Dimsu,South Darfur,SD03,Sudan,SD,2014-01-01,2015-11-30,
Ghubaysh,SD18021,Ghubaysh,Ghubaysh,Ghubaysh,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
Abyei - Muglad,SD18087,Abyei - Muglad,Abyei - Muglad,Abyei,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
Babanusa,SD18100,Babanusa,Babanusa,Babanusa,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
El Salam,SD18086,El Salam,El Salam,El Salam,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
Al Sunut,SD18092,Al Sunut,Al Sunut,Al Sunut,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
Al Qoz,SD07094,Al Qoz,Al Qoz,Al Qoz,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
Rashad,SD07093,Rashad,Rashad,Rashad,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
El Abassiya,SD07090,El Abassiya,El Abassiya,El Abassiya,South Kordofan,SD07,Sudan,SD,2014-01-01,2015-11-30,
El Salam,SD09049,El Salam,El Salam,El Salam,White Nile,SD09,Sudan,SD,2014-01-01,2015-11-30,
Um Rawaba,SD13023,Um Rawaba,Um Rawaba,Um Rawaba,North Kordofan,SD13,Sudan,SD,2014-01-01,2015-11-30,
Shiekan,SD13024,Shiekan,Shiekan,Shiekan,North Kordofan,SD13,Sudan,SD,2014-01-01,2015-11-30,
Abu Zabad,SD18028,Abu Zabad,Abu Zabad,Abu Zabad,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
El Nehoud,SD18022,El Nehoud,El Nehoud,El Nehoud,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
El Dindir,SD14040,El Dindir,El Dindir,El Dindir,Sennar,SD14,Sudan,SD,2014-01-01,2015-11-30,
El Roseires,SD08107,El Roseires,El Roseires,El Roseires,Blue Nile,SD08,Sudan,SD,2014-01-01,2015-11-30,
Abu Jabra,SD05140,Abu Jabra,Abu Jabra,Abu Jabra,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
Adila,SD05139,Adila,Adila,Adila,East Darfur,SD05,Sudan,SD,2014-01-01,2015-11-30,
