admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
Rugazi,BDI001005,Rugazi,Rugazi (Bubanza),,Bubanza,BDI001,Burundi,BDI,2005-09-30,2017-11-03,
Mubimbi,BDI002005,Mubimbi,Mubimbi (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
Rutegama,BDI011005,Rutegama,Rutegama (Muramvya),,Muramvya,BDI011,Burundi,BDI,2005-09-30,2017-11-03,
Kiganda,BDI011002,Kiganda,Kiganda (Muramvya),,Muramvya,BDI011,Burundi,BDI,2005-09-30,2017-11-03,
Mbuye,BDI011003,Mbuye,Mbuye (Muramvya),,Muramvya,BDI011,Burundi,BDI,2005-09-30,2017-11-03,
Gahombo,BDI008002,Gahombo,Gahombo (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Gatara,BDI008003,Gatara,Gatara (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Butaganzwa,BDI008001,Butaganzwa,Butaganzwa (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Kayanza,BDI008005,Kayanza,Kayanza (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Bugendana,BDI006001,Bugendana,Bugendana (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Musongati,BDI015005,Musongati,Musongati (Rutana),,Rutana,BDI015,Burundi,BDI,2005-09-30,2017-11-03,
Rutana,BDI015006,Rutana,Rutana (Rutana),,Rutana,BDI015,Burundi,BDI,2005-09-30,2017-11-03,
Gitanga,BDI015003,Gitanga,Gitanga (Rutana),,Rutana,BDI015,Burundi,BDI,2005-09-30,2017-11-03,
Makamba,BDI010004,Makamba,Makamba (Makamba),,Makamba,BDI010,Burundi,BDI,2005-09-30,2017-11-03,
Rutovu,BDI003007,Rutovu,Rutovu (Bururi),,Bururi,BDI003,Burundi,BDI,2005-09-30,2017-11-03,
Buraza,BDI006003,Buraza,Buraza (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Nyanrusange,BDI006011,Nyanrusange,Nyanrusange (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Gishubi,BDI006005,Gishubi,Gishubi (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Nyabihanga,BDI013005,Nyabihanga,Nyabihanga (Mwaro),,Mwaro,BDI013,Burundi,BDI,2005-09-30,2017-11-03,
Giheta,BDI006004,Giheta,Giheta (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
